A,TOTAL,T,Y55-64,HLD,FI	19580 	15860 	11790 	14090 	: 
A,TOTAL,T,Y55-64,HLD,FR	132720 	127320 	133470 	120990 	111520 
A,TOTAL,T,Y55-64,HLD,HR	63570 	47190 	37410 	37840 	39250 
A,TOTAL,T,Y55-64,HLD,HU	159430 	142260 	117970 	57220 	43110 
A,TOTAL,T,Y55-64,HLD,IE	35000 	35530 	34470 	35090 	: 
A,TOTAL,T,Y55-64,HLD,IS	790 	: 	: 	690 	: 
A,TOTAL,T,Y55-64,HLD,IT	393860 	235780 	275390 	278650 	: 
A,TOTAL,T,Y55-64,HLD,LT	37680 	35910 	35770 	36620 	33450 i
A,TOTAL,T,Y55-64,HLD,LU	600 	570 	600 	540 	540 
A,TOTAL,T,Y55-64,HLD,LV	17320 	19750 	18670 	20810 	: 
A,TOTAL,T,Y55-64,HLD,ME	12210 	: 	: 	: 	: 
A,TOTAL,T,Y55-64,HLD,MK	: 	49220 	: 	: 	: 
A,TOTAL,T,Y55-64,HLD,MT	3940 	3130 	3170 	2230 	1940 
A,TOTAL,T,Y55-64,HLD,NL	18890 	18140 	16150 	17520 	17680 
A,TOTAL,T,Y55-64,HLD,NO	12600 	11480 	11460 	10540 	: 
A,TOTAL,T,Y55-64,HLD,PL	302790 	346850 	377280 	334640 	: 
A,TOTAL,T,Y55-64,HLD,PT	75960 	62410 	62370 	67730 	63750 
A,TOTAL,T,Y55-64,HLD,RO	868910 	853300 	765450 	572300 	680660 
A,TOTAL,T,Y55-64,HLD,RS	191800 	: 	: 	: 	: 
A,TOTAL,T,Y55-64,HLD,SE	20640 	18810 	17390 	15920 	14740 
A,TOTAL,T,Y55-64,HLD,SI	19560 	21090 	20140 	18270 	: 
A,TOTAL,T,Y55-64,HLD,SK	6920 	7060 	6760 	5030 	4150 
A,TOTAL,T,Y55-64,HLD,UK	52380 	51070 	51480 	: 	: 
A,TOTAL,T,Y_GE65,HLD,AT	12380 	12050 	9650 	7740 	6910 
A,TOTAL,T,Y_GE65,HLD,BE	8550 	8000 	7490 	8110 	: 
A,TOTAL,T,Y_GE65,HLD,BG	138160 	93330 	73060 	40920 	33400 i
A,TOTAL,T,Y_GE65,HLD,CH	3490 	: 	3330 	1240 	: 
A,TOTAL,T,Y_GE65,HLD,CY	12810 	14140 	15570 	15810 	16740 
A,TOTAL,T,Y_GE65,HLD,CZ	2920 	6030 	7100 	5940 	6850 
A,TOTAL,T,Y_GE65,HLD,DE	15900 	18630 	22670 	29500 	37210 
A,TOTAL,T,Y_GE65,HLD,DK	7800 	9260 	8740 	11500 	: 
A,TOTAL,T,Y_GE65,HLD,EE	5560 	5830 	4600 	2980 	3000 
A,TOTAL,T,Y_GE65,HLD,EL	240890 	222240 	229230 	196890 	182050 
A,TOTAL,T,Y_GE65,HLD,ES	294350 	321770 	294460 	323660 	285870 i
A,TOTAL,T,Y_GE65,HLD,EU27_2020	3577990 	3309680 	3372270 	2959170 	: 
A,TOTAL,T,Y_GE65,HLD,FI	5590 	5530 	4800 	8550 	: 
A,TOTAL,T,Y_GE65,HLD,FR	61870 	58510 	68630 	49460 	41030 
A,TOTAL,T,Y_GE65,HLD,HR	73670 	47760 	43980 	50860 	51990 
A,TOTAL,T,Y_GE65,HLD,HU	168340 	147970 	131740 	81320 	69630 
A,TOTAL,T,Y_GE65,HLD,IE	35370 	36950 	40080 	46870 	: 
A,TOTAL,T,Y_GE65,HLD,IS	410 	: 	: 	490 	: 
A,TOTAL,T,Y_GE65,HLD,IT	603390 	400650 	468850 	482110 	: 
A,TOTAL,T,Y_GE65,HLD,LT	69440 	58390 	46270 	42050 	38710 i
A,TOTAL,T,Y_GE65,HLD,LU	300 	300 	310 	380 	380 
A,TOTAL,T,Y_GE65,HLD,LV	24810 	24580 	21110 	20600 	: 
A,TOTAL,T,Y_GE65,HLD,ME	16230 	: 	: 	: 	: 
A,TOTAL,T,Y_GE65,HLD,MK	: 	51220 	: 	: 	: 
A,TOTAL,T,Y_GE65,HLD,MT	3260 	2350 	2960 	2730 	3460 
A,TOTAL,T,Y_GE65,HLD,NL	13220 	14160 	10410 	11270 	12060 
A,TOTAL,T,Y_GE65,HLD,NO	4260 	5610 	6480 	6640 	: 
A,TOTAL,T,Y_GE65,HLD,PL	126400 	137650 	164910 	178480 	: 
A,TOTAL,T,Y_GE65,HLD,PT	141940 	132350 	134370 	145950 	135710 
A,TOTAL,T,Y_GE65,HLD,RO	1463720 	1487710 	1515570 	1144600 	1191830 
A,TOTAL,T,Y_GE65,HLD,RS	207110 	: 	: 	: 	: 
A,TOTAL,T,Y_GE65,HLD,SE	19120 	20150 	20560 	20340 	21150 
A,TOTAL,T,Y_GE65,HLD,SI	22700 	18300 	19930 	26480 	: 
A,TOTAL,T,Y_GE65,HLD,SK	5560 	5100 	5220 	4090 	4040 
A,TOTAL,T,Y_GE65,HLD,UK	54850 	55790 	62640 	: 	: 
A,TOTAL,T,Y_LT25,HLD,AT	1940 	1930 	2390 	1520 	1330 
A,TOTAL,T,Y_LT25,HLD,BE	130 	70 	130 	120 	: 
A,TOTAL,T,Y_LT25,HLD,BG	4560 	1990 	2260 	1600 	1250 i
A,TOTAL,T,Y_LT25,HLD,CH	280 	: 	250 	220 	: 
A,TOTAL,T,Y_LT25,HLD,CY	50 	20 	30 	80 	30 
A,TOTAL,T,Y_LT25,HLD,CZ	260 	80 	100 	340 	610 
A,TOTAL,T,Y_LT25,HLD,DE	1740 	1840 	1710 	1410 	1240 
A,TOTAL,T,Y_LT25,HLD,DK	60 	10 	40 	200 	: 
A,TOTAL,T,Y_LT25,HLD,EE	170 	220 	170 	100 	80 
A,TOTAL,T,Y_LT25,HLD,EL	6000 	3290 	2710 	1990 	2040 
A,TOTAL,T,Y_LT25,HLD,ES	3970 	1990 	2220 	5930 	7030 i
A,TOTAL,T,Y_LT25,HLD,EU27_2020	95730 	56540 	47270 	74170 	: 
A,TOTAL,T,Y_LT25,HLD,FI	350 	440 	550 	240 	: 
A,TOTAL,T,Y_LT25,HLD,FR	4280 	3640 	3320 	3890 	3730 
A,TOTAL,T,Y_LT25,HLD,HR	1100 	1040 	980 	1960 	2330 
A,TOTAL,T,Y_LT25,HLD,HU	3860 	3120 	2570 	1030 	810 
A,TOTAL,T,Y_LT25,HLD,IE	800 	860 	1580 	1040 	: 
